feature,mae
HR,0.3801254808927215
SBP,0.3736989504284448
Platelet,0.36636778139200915
Temp,0.3642976282471675
SaO2,0.361211843658361
Glucose,0.3590466704345254
MAP,0.3567285778123404
BUN,0.35288272099380247
Chloride,0.34192061508298216
PTT,0.34157962554741783
DBP,0.3399345338712739
RR,0.3269044486319525
WBC,0.31888069082705245
HCO3,0.3188314897164507
Calcium,0.3180181322175556
BASELINE,0.3008268882587641
