feature,mae
HR,0.35403324880477954
SBP,0.34890279271811014
Glucose,0.3433752195505426
Temp,0.3431981005548474
SaO2,0.34172906195392194
Platelet,0.331107015688577
BUN,0.3287227208132624
Chloride,0.32496104255936403
MAP,0.3221170494755549
DBP,0.32065207242401356
PTT,0.3106563642069854
RR,0.30291460835946793
Calcium,0.30188679337497965
WBC,0.29568879261813025
HCO3,0.2866067511151884
BASELINE,0.26365738310878784
