feature,mae
SBP,0.33819444599809584
Glucose,0.3310157968144498
HR,0.3306122406435445
Temp,0.32390360887997466
Platelet,0.32344657534558896
SaO2,0.30767842524338385
DBP,0.30535420955421666
Chloride,0.30406313678788593
PTT,0.2979086535365481
BUN,0.28881327276528007
MAP,0.28567266525804264
RR,0.2730291012561603
HCO3,0.26402032516540247
Calcium,0.2615805530212039
WBC,0.24222536108681755
BASELINE,0.20420913106157149
